Type,omega
Speciation_gene_pairs_same_direction,0.193
Speciation_gene_pairs_same_direction,0.0961
Speciation_gene_pairs_same_direction,0.0928
Speciation_gene_pairs_same_direction,0.0771
Speciation_gene_pairs_same_direction,0.0968
Speciation_gene_pairs_same_direction,0.2446
Speciation_gene_pairs_same_direction,0.0747
Speciation_gene_pairs_same_direction,0.1007
Speciation_gene_pairs_same_direction,0.1585
Speciation_gene_pairs_same_direction,0.1961
Speciation_gene_pairs_same_direction,0.1362
Speciation_gene_pairs_same_direction,0.1518
Speciation_gene_pairs_same_direction,0.0815
Speciation_gene_pairs_same_direction,0.075
Speciation_gene_pairs_same_direction,0.2067
Speciation_gene_pairs_same_direction,0.0326
Speciation_gene_pairs_same_direction,0.2094
Speciation_gene_pairs_same_direction,0.1254
Speciation_gene_pairs_same_direction,0.4023
Speciation_gene_pairs_same_direction,0.4317
Speciation_gene_pairs_same_direction,0.3053
Speciation_gene_pairs_same_direction,0.0989
Speciation_gene_pairs_same_direction,0.3535
Speciation_gene_pairs_same_direction,0.0474
Speciation_gene_pairs_same_direction,0.1086
Speciation_gene_pairs_same_direction,0.2304
Speciation_gene_pairs_same_direction,0.0498
Speciation_gene_pairs_same_direction,0.1637
