Type,ka
Speciation_gene_pairs_same_direction,0.0696306
Speciation_gene_pairs_same_direction,0.0997698
Speciation_gene_pairs_same_direction,0.0585861
Speciation_gene_pairs_same_direction,0.230686
Speciation_gene_pairs_same_direction,0.177512
Speciation_gene_pairs_same_direction,0.117845
Speciation_gene_pairs_same_direction,0.0572649
Speciation_gene_pairs_same_direction,0.181876
Speciation_gene_pairs_same_direction,0.17452
Speciation_gene_pairs_same_direction,0.0368227
Speciation_gene_pairs_same_direction,0.264202
Speciation_gene_pairs_same_direction,0.362448
Speciation_gene_pairs_same_direction,0.181753
Speciation_gene_pairs_same_direction,0.376818
Speciation_gene_pairs_same_direction,0.193767
Speciation_gene_pairs_same_direction,0.0734095
Speciation_gene_pairs_same_direction,0.246557
Speciation_gene_pairs_same_direction,0.289036
Speciation_gene_pairs_same_direction,0.134786
Speciation_gene_pairs_same_direction,0.104483
Speciation_gene_pairs_same_direction,0.137021
Speciation_gene_pairs_same_direction,0.102062
Speciation_gene_pairs_same_direction,0.233953
Speciation_gene_pairs_same_direction,0.106474
Speciation_gene_pairs_same_direction,0.160854
Speciation_gene_pairs_same_direction,0.191695
Speciation_gene_pairs_same_direction,0.0837885
Speciation_gene_pairs_same_direction,0.121045
