Type,ks
Speciation_gene_pairs_same_direction,0.792731
Speciation_gene_pairs_same_direction,0.868901
Speciation_gene_pairs_same_direction,1.39174
Speciation_gene_pairs_same_direction,1.00114
Speciation_gene_pairs_same_direction,1.03124
Speciation_gene_pairs_same_direction,0.601518
Speciation_gene_pairs_same_direction,0.569881
Speciation_gene_pairs_same_direction,0.672559
Speciation_gene_pairs_same_direction,0.777527
Speciation_gene_pairs_same_direction,2.29769
Speciation_gene_pairs_same_direction,0.872912
Speciation_gene_pairs_same_direction,1.91515
Speciation_gene_pairs_same_direction,1.04805
Speciation_gene_pairs_same_direction,1.24609
Speciation_gene_pairs_same_direction,2.51067
Speciation_gene_pairs_same_direction,2.00045
Speciation_gene_pairs_same_direction,1.40104
Speciation_gene_pairs_same_direction,1.27793
Speciation_gene_pairs_same_direction,1.13334
Speciation_gene_pairs_same_direction,0.587353
Speciation_gene_pairs_same_direction,2.40217
Speciation_gene_pairs_same_direction,1.52138
Speciation_gene_pairs_same_direction,2.54123
Speciation_gene_pairs_same_direction,0.715101
Speciation_gene_pairs_same_direction,0.643137
Speciation_gene_pairs_same_direction,0.735139
Speciation_gene_pairs_same_direction,1.06021
Speciation_gene_pairs_same_direction,0.698173
