Type,omega
Speciation_gene_pairs_same_direction,0.0555912
Speciation_gene_pairs_same_direction,0.203649
Speciation_gene_pairs_same_direction,0.244197
Speciation_gene_pairs_same_direction,0.234677
Speciation_gene_pairs_same_direction,0.239803
Speciation_gene_pairs_same_direction,0.0559244
Speciation_gene_pairs_same_direction,0.280167
Speciation_gene_pairs_same_direction,0.0280311
Speciation_gene_pairs_same_direction,0.275245
Speciation_gene_pairs_same_direction,0.256909
Speciation_gene_pairs_same_direction,0.0730687
Speciation_gene_pairs_same_direction,0.082601
Speciation_gene_pairs_same_direction,0.17184
Speciation_gene_pairs_same_direction,0.146168
Speciation_gene_pairs_same_direction,0.277737
Speciation_gene_pairs_same_direction,0.0837983
Speciation_gene_pairs_same_direction,0.066012
Speciation_gene_pairs_same_direction,0.203779
Speciation_gene_pairs_same_direction,0.131398
Speciation_gene_pairs_same_direction,0.205763
Speciation_gene_pairs_same_direction,0.482124
Speciation_gene_pairs_same_direction,0.15408
Speciation_gene_pairs_same_direction,0.114765
Speciation_gene_pairs_same_direction,0.202253
Speciation_gene_pairs_same_direction,0.186114
Speciation_gene_pairs_same_direction,0.152133
Speciation_gene_pairs_same_direction,0.0491852
Speciation_gene_pairs_same_direction,0.0264651
