Type,ka
Speciation_gene_pairs_same_direction,0.0662
Speciation_gene_pairs_same_direction,0.3694
Speciation_gene_pairs_same_direction,0.2895
Speciation_gene_pairs_same_direction,0.0861
Speciation_gene_pairs_same_direction,0.3247
Speciation_gene_pairs_same_direction,0.1729
Speciation_gene_pairs_same_direction,0.0849
Speciation_gene_pairs_same_direction,0.3086
Speciation_gene_pairs_same_direction,0.1665
Speciation_gene_pairs_same_direction,0.0637
Speciation_gene_pairs_same_direction,0.1695
Speciation_gene_pairs_same_direction,0.0898
Speciation_gene_pairs_same_direction,0.2189
Speciation_gene_pairs_same_direction,0.1648
Speciation_gene_pairs_same_direction,0.2903
Speciation_gene_pairs_same_direction,0.1034
Speciation_gene_pairs_same_direction,0.0648
Speciation_gene_pairs_same_direction,0.2635
Speciation_gene_pairs_same_direction,0.1526
Speciation_gene_pairs_same_direction,0.137
Speciation_gene_pairs_same_direction,0.2587
Speciation_gene_pairs_same_direction,0.1134
Speciation_gene_pairs_same_direction,0.1977
Speciation_gene_pairs_same_direction,0.0931
Speciation_gene_pairs_same_direction,0.1282
Speciation_gene_pairs_same_direction,0.2051
Speciation_gene_pairs_same_direction,0.2384
Speciation_gene_pairs_same_direction,0.1956
