Type,omega
Speciation_gene_pairs_same_direction,0.2951
Speciation_gene_pairs_same_direction,0.2247
Speciation_gene_pairs_same_direction,0.0748
Speciation_gene_pairs_same_direction,0.3699
Speciation_gene_pairs_same_direction,0.2779
Speciation_gene_pairs_same_direction,0.1869
Speciation_gene_pairs_same_direction,0.152
Speciation_gene_pairs_same_direction,0.1082
Speciation_gene_pairs_same_direction,0.124
Speciation_gene_pairs_same_direction,0.1329
Speciation_gene_pairs_same_direction,0.1343
Speciation_gene_pairs_same_direction,0.3407
Speciation_gene_pairs_same_direction,0.1935
Speciation_gene_pairs_same_direction,0.0907
Speciation_gene_pairs_same_direction,0.1418
Speciation_gene_pairs_same_direction,0.3118
Speciation_gene_pairs_same_direction,0.155
Speciation_gene_pairs_same_direction,0.0979
Speciation_gene_pairs_same_direction,0.1878
Speciation_gene_pairs_same_direction,0.115
Speciation_gene_pairs_same_direction,0.1942
Speciation_gene_pairs_same_direction,0.1483
Speciation_gene_pairs_same_direction,0.1595
Speciation_gene_pairs_same_direction,0.3025
Speciation_gene_pairs_same_direction,0.2157
Speciation_gene_pairs_same_direction,0.2008
Speciation_gene_pairs_same_direction,0.2673
Speciation_gene_pairs_same_direction,0.2254
