Type,ka
Speciation_gene_pairs_same_direction,0.2172
Speciation_gene_pairs_same_direction,0.192
Speciation_gene_pairs_same_direction,0.1404
Speciation_gene_pairs_same_direction,0.1716
Speciation_gene_pairs_same_direction,0.2652
Speciation_gene_pairs_same_direction,0.074
Speciation_gene_pairs_same_direction,0.2099
Speciation_gene_pairs_same_direction,0.3812
Speciation_gene_pairs_same_direction,0.1313
Speciation_gene_pairs_same_direction,0.0711
Speciation_gene_pairs_same_direction,0.1427
Speciation_gene_pairs_same_direction,0.0517
Speciation_gene_pairs_same_direction,0.1627
Speciation_gene_pairs_same_direction,0.3258
Speciation_gene_pairs_same_direction,0.1962
Speciation_gene_pairs_same_direction,0.1864
Speciation_gene_pairs_same_direction,0.1191
Speciation_gene_pairs_same_direction,0.1175
Speciation_gene_pairs_same_direction,0.4143
Speciation_gene_pairs_same_direction,0.1879
Speciation_gene_pairs_same_direction,0.2344
Speciation_gene_pairs_same_direction,0.2679
Speciation_gene_pairs_same_direction,0.1396
Speciation_gene_pairs_same_direction,0.3055
Speciation_gene_pairs_same_direction,0.0568
Speciation_gene_pairs_same_direction,0.1363
Speciation_gene_pairs_same_direction,0.2086
Speciation_gene_pairs_same_direction,0.2071
