Type,omega
Speciation_gene_pairs_same_direction,0.0978
Speciation_gene_pairs_same_direction,0.1879
Speciation_gene_pairs_same_direction,0.0646
Speciation_gene_pairs_same_direction,0.2069
Speciation_gene_pairs_same_direction,0.1653
Speciation_gene_pairs_same_direction,0.0717
Speciation_gene_pairs_same_direction,0.1187
Speciation_gene_pairs_same_direction,0.195
Speciation_gene_pairs_same_direction,0.0171
Speciation_gene_pairs_same_direction,0.3016
Speciation_gene_pairs_same_direction,0.1855
Speciation_gene_pairs_same_direction,0.1805
Speciation_gene_pairs_same_direction,0.0631
Speciation_gene_pairs_same_direction,0.0203
Speciation_gene_pairs_same_direction,0.0241
Speciation_gene_pairs_same_direction,0.0893
Speciation_gene_pairs_same_direction,0.0632
Speciation_gene_pairs_same_direction,0.1879
Speciation_gene_pairs_same_direction,0.1203
Speciation_gene_pairs_same_direction,0.0441
Speciation_gene_pairs_same_direction,0.0808
Speciation_gene_pairs_same_direction,0.2546
Speciation_gene_pairs_same_direction,0.1524
Speciation_gene_pairs_same_direction,0.158
Speciation_gene_pairs_same_direction,0.1042
Speciation_gene_pairs_same_direction,0.0427
Speciation_gene_pairs_same_direction,0.1389
Speciation_gene_pairs_same_direction,0.2614
