Type,ks
Speciation_gene_pairs_same_direction,1.05316
Speciation_gene_pairs_same_direction,2.00534
Speciation_gene_pairs_same_direction,0.852582
Speciation_gene_pairs_same_direction,0.679413
Speciation_gene_pairs_same_direction,0.914034
Speciation_gene_pairs_same_direction,0.796428
Speciation_gene_pairs_same_direction,1.58222
Speciation_gene_pairs_same_direction,0.776385
Speciation_gene_pairs_same_direction,1.46706
Speciation_gene_pairs_same_direction,2.5245
Speciation_gene_pairs_same_direction,0.997683
Speciation_gene_pairs_same_direction,0.696427
Speciation_gene_pairs_same_direction,0.826588
Speciation_gene_pairs_same_direction,0.770067
Speciation_gene_pairs_same_direction,2.66362
Speciation_gene_pairs_same_direction,1.33523
Speciation_gene_pairs_same_direction,1.7478
Speciation_gene_pairs_same_direction,1.06487
Speciation_gene_pairs_same_direction,1.20896
Speciation_gene_pairs_same_direction,0.717654
Speciation_gene_pairs_same_direction,0.892839
Speciation_gene_pairs_same_direction,1.07053
Speciation_gene_pairs_same_direction,0.913622
Speciation_gene_pairs_same_direction,2.63383
Speciation_gene_pairs_same_direction,1.75664
Speciation_gene_pairs_same_direction,1.86856
Speciation_gene_pairs_same_direction,0.639376
Speciation_gene_pairs_same_direction,0.714393
