Type,ka
Speciation_gene_pairs_same_direction,0.1906
Speciation_gene_pairs_same_direction,0.2095
Speciation_gene_pairs_same_direction,0.2621
Speciation_gene_pairs_same_direction,0.1046
Speciation_gene_pairs_same_direction,0.2552
Speciation_gene_pairs_same_direction,0.2218
Speciation_gene_pairs_same_direction,0.2184
Speciation_gene_pairs_same_direction,0.0504
Speciation_gene_pairs_same_direction,0.1392
Speciation_gene_pairs_same_direction,0.1268
Speciation_gene_pairs_same_direction,0.3027
Speciation_gene_pairs_same_direction,0.1727
Speciation_gene_pairs_same_direction,0.0438
Speciation_gene_pairs_same_direction,0.099
Speciation_gene_pairs_same_direction,0.0962
Speciation_gene_pairs_same_direction,0.1688
Speciation_gene_pairs_same_direction,0.132
Speciation_gene_pairs_same_direction,0.4553
Speciation_gene_pairs_same_direction,0.232
Speciation_gene_pairs_same_direction,0.4736
Speciation_gene_pairs_same_direction,0.1055
Speciation_gene_pairs_same_direction,0.2042
Speciation_gene_pairs_same_direction,0.416
Speciation_gene_pairs_same_direction,0.0707
Speciation_gene_pairs_same_direction,0.1898
Speciation_gene_pairs_same_direction,0.3238
Speciation_gene_pairs_same_direction,0.3669
Speciation_gene_pairs_same_direction,0.2785
