Type,ks
Speciation_gene_pairs_same_direction,0.7477
Speciation_gene_pairs_same_direction,0.7108
Speciation_gene_pairs_same_direction,0.9484
Speciation_gene_pairs_same_direction,0.7061
Speciation_gene_pairs_same_direction,1.0761
Speciation_gene_pairs_same_direction,0.5629
Speciation_gene_pairs_same_direction,0.4249
Speciation_gene_pairs_same_direction,1.0251
Speciation_gene_pairs_same_direction,0.9561
Speciation_gene_pairs_same_direction,0.9413
Speciation_gene_pairs_same_direction,0.7437
Speciation_gene_pairs_same_direction,1.4621
Speciation_gene_pairs_same_direction,1.3447
Speciation_gene_pairs_same_direction,0.7779
Speciation_gene_pairs_same_direction,0.8968
Speciation_gene_pairs_same_direction,0.9307
Speciation_gene_pairs_same_direction,0.6941
Speciation_gene_pairs_same_direction,0.8903
Speciation_gene_pairs_same_direction,1.1642
Speciation_gene_pairs_same_direction,0.8156
Speciation_gene_pairs_same_direction,0.6518
Speciation_gene_pairs_same_direction,1.4622
Speciation_gene_pairs_same_direction,0.6172
Speciation_gene_pairs_same_direction,0.869
Speciation_gene_pairs_same_direction,0.5517
Speciation_gene_pairs_same_direction,0.841
Speciation_gene_pairs_same_direction,0.753
Speciation_gene_pairs_same_direction,0.7459
