Type,omega
Speciation_gene_pairs_same_direction,0.2693
Speciation_gene_pairs_same_direction,0.3221
Speciation_gene_pairs_same_direction,0.0854
Speciation_gene_pairs_same_direction,0.256
Speciation_gene_pairs_same_direction,0.072
Speciation_gene_pairs_same_direction,0.1611
Speciation_gene_pairs_same_direction,0.159
Speciation_gene_pairs_same_direction,0.4412
Speciation_gene_pairs_same_direction,0.3136
Speciation_gene_pairs_same_direction,0.3369
Speciation_gene_pairs_same_direction,0.2443
Speciation_gene_pairs_same_direction,0.2659
Speciation_gene_pairs_same_direction,0.1809
Speciation_gene_pairs_same_direction,0.0954
Speciation_gene_pairs_same_direction,0.1323
Speciation_gene_pairs_same_direction,0.0996
Speciation_gene_pairs_same_direction,0.222
Speciation_gene_pairs_same_direction,0.1143
Speciation_gene_pairs_same_direction,0.0843
Speciation_gene_pairs_same_direction,0.1434
Speciation_gene_pairs_same_direction,0.2876
Speciation_gene_pairs_same_direction,0.0622
Speciation_gene_pairs_same_direction,0.0823
Speciation_gene_pairs_same_direction,0.0687
Speciation_gene_pairs_same_direction,0.1736
Speciation_gene_pairs_same_direction,0.4278
Speciation_gene_pairs_same_direction,0.0416
Speciation_gene_pairs_same_direction,0.2145
