Type,ka
Speciation_gene_pairs_same_direction,0.2244
Speciation_gene_pairs_same_direction,0.264
Speciation_gene_pairs_same_direction,0.0575
Speciation_gene_pairs_same_direction,0.1218
Speciation_gene_pairs_same_direction,0.1801
Speciation_gene_pairs_same_direction,0.0728
Speciation_gene_pairs_same_direction,0.4856
Speciation_gene_pairs_same_direction,0.2255
Speciation_gene_pairs_same_direction,0.1116
Speciation_gene_pairs_same_direction,0.2423
Speciation_gene_pairs_same_direction,0.0814
Speciation_gene_pairs_same_direction,0.4124
Speciation_gene_pairs_same_direction,0.147
Speciation_gene_pairs_same_direction,0.0414
Speciation_gene_pairs_same_direction,0.0711
Speciation_gene_pairs_same_direction,0.2758
Speciation_gene_pairs_same_direction,0.1086
Speciation_gene_pairs_same_direction,0.1933
Speciation_gene_pairs_same_direction,0.2965
Speciation_gene_pairs_same_direction,0.2467
Speciation_gene_pairs_same_direction,0.1773
Speciation_gene_pairs_same_direction,0.1903
Speciation_gene_pairs_same_direction,0.1984
Speciation_gene_pairs_same_direction,0.2893
Speciation_gene_pairs_same_direction,0.1646
Speciation_gene_pairs_same_direction,0.1686
Speciation_gene_pairs_same_direction,0.1482
Speciation_gene_pairs_same_direction,0.2158
