Type,ks
Speciation_gene_pairs_same_direction,1.2788
Speciation_gene_pairs_same_direction,0.8655
Speciation_gene_pairs_same_direction,1.1149
Speciation_gene_pairs_same_direction,1.0
Speciation_gene_pairs_same_direction,0.8146
Speciation_gene_pairs_same_direction,2.7558
Speciation_gene_pairs_same_direction,1.3153
Speciation_gene_pairs_same_direction,0.6203
Speciation_gene_pairs_same_direction,0.6775
Speciation_gene_pairs_same_direction,1.3865
Speciation_gene_pairs_same_direction,0.8311
Speciation_gene_pairs_same_direction,0.7022
Speciation_gene_pairs_same_direction,0.477
Speciation_gene_pairs_same_direction,0.6617
Speciation_gene_pairs_same_direction,0.5318
Speciation_gene_pairs_same_direction,0.7842
Speciation_gene_pairs_same_direction,2.076
Speciation_gene_pairs_same_direction,1.208
Speciation_gene_pairs_same_direction,0.7786
Speciation_gene_pairs_same_direction,0.9134
Speciation_gene_pairs_same_direction,0.7333
Speciation_gene_pairs_same_direction,2.3772
Speciation_gene_pairs_same_direction,1.3068
Speciation_gene_pairs_same_direction,0.7069
Speciation_gene_pairs_same_direction,0.8704
Speciation_gene_pairs_same_direction,0.6346
Speciation_gene_pairs_same_direction,2.8985
Speciation_gene_pairs_same_direction,0.7148
