Type,ka
Speciation_gene_pairs_same_direction,0.188742
Speciation_gene_pairs_same_direction,0.256104
Speciation_gene_pairs_same_direction,0.108987
Speciation_gene_pairs_same_direction,0.305991
Speciation_gene_pairs_same_direction,0.0746096
Speciation_gene_pairs_same_direction,0.135799
Speciation_gene_pairs_same_direction,0.100647
Speciation_gene_pairs_same_direction,0.236984
Speciation_gene_pairs_same_direction,0.0960201
Speciation_gene_pairs_same_direction,0.0303665
Speciation_gene_pairs_same_direction,0.18038
Speciation_gene_pairs_same_direction,0.116394
Speciation_gene_pairs_same_direction,0.379381
Speciation_gene_pairs_same_direction,0.165913
Speciation_gene_pairs_same_direction,0.0670521
Speciation_gene_pairs_same_direction,0.224078
Speciation_gene_pairs_same_direction,0.259455
Speciation_gene_pairs_same_direction,0.11697
Speciation_gene_pairs_same_direction,0.245167
Speciation_gene_pairs_same_direction,0.182067
Speciation_gene_pairs_same_direction,0.0379881
Speciation_gene_pairs_same_direction,0.190973
Speciation_gene_pairs_same_direction,0.258452
Speciation_gene_pairs_same_direction,0.316541
Speciation_gene_pairs_same_direction,0.191963
Speciation_gene_pairs_same_direction,0.285415
Speciation_gene_pairs_same_direction,0.408803
Speciation_gene_pairs_same_direction,0.176016
