Type,ka
Speciation_gene_pairs_same_direction,0.4561
Speciation_gene_pairs_same_direction,0.1812
Speciation_gene_pairs_same_direction,0.2102
Speciation_gene_pairs_same_direction,0.0969
Speciation_gene_pairs_same_direction,0.1468
Speciation_gene_pairs_same_direction,0.1172
Speciation_gene_pairs_same_direction,0.113
Speciation_gene_pairs_same_direction,0.1476
Speciation_gene_pairs_same_direction,0.4646
Speciation_gene_pairs_same_direction,0.1675
Speciation_gene_pairs_same_direction,0.2596
Speciation_gene_pairs_same_direction,0.1825
Speciation_gene_pairs_same_direction,0.0678
Speciation_gene_pairs_same_direction,0.2164
Speciation_gene_pairs_same_direction,0.2218
Speciation_gene_pairs_same_direction,0.1342
Speciation_gene_pairs_same_direction,0.146
Speciation_gene_pairs_same_direction,0.1451
Speciation_gene_pairs_same_direction,0.1521
Speciation_gene_pairs_same_direction,0.0593
Speciation_gene_pairs_same_direction,0.1612
Speciation_gene_pairs_same_direction,0.1903
Speciation_gene_pairs_same_direction,0.0915
Speciation_gene_pairs_same_direction,0.2486
Speciation_gene_pairs_same_direction,0.2012
Speciation_gene_pairs_same_direction,0.2137
Speciation_gene_pairs_same_direction,0.2365
Speciation_gene_pairs_same_direction,0.177
