Type,ks
Speciation_gene_pairs_same_direction,0.8087
Speciation_gene_pairs_same_direction,1.6153
Speciation_gene_pairs_same_direction,2.144
Speciation_gene_pairs_same_direction,0.5762
Speciation_gene_pairs_same_direction,0.4688
Speciation_gene_pairs_same_direction,0.6873
Speciation_gene_pairs_same_direction,0.8919
Speciation_gene_pairs_same_direction,2.2689
Speciation_gene_pairs_same_direction,0.9233
Speciation_gene_pairs_same_direction,0.8356
Speciation_gene_pairs_same_direction,2.0864
Speciation_gene_pairs_same_direction,1.2971
Speciation_gene_pairs_same_direction,1.7244
Speciation_gene_pairs_same_direction,0.7243
Speciation_gene_pairs_same_direction,0.734
Speciation_gene_pairs_same_direction,0.7494
Speciation_gene_pairs_same_direction,1.9413
Speciation_gene_pairs_same_direction,0.7341
Speciation_gene_pairs_same_direction,1.0176
Speciation_gene_pairs_same_direction,2.076
Speciation_gene_pairs_same_direction,0.5927
Speciation_gene_pairs_same_direction,0.6994
Speciation_gene_pairs_same_direction,0.747
Speciation_gene_pairs_same_direction,0.7293
Speciation_gene_pairs_same_direction,0.7423
Speciation_gene_pairs_same_direction,2.7434
Speciation_gene_pairs_same_direction,0.745
Speciation_gene_pairs_same_direction,2.4655
