Type,omega
Speciation_gene_pairs_same_direction,0.158
Speciation_gene_pairs_same_direction,0.289
Speciation_gene_pairs_same_direction,0.1416
Speciation_gene_pairs_same_direction,0.1987
Speciation_gene_pairs_same_direction,0.0778
Speciation_gene_pairs_same_direction,0.1367
Speciation_gene_pairs_same_direction,0.5381
Speciation_gene_pairs_same_direction,0.0862
Speciation_gene_pairs_same_direction,0.0498
Speciation_gene_pairs_same_direction,0.0564
Speciation_gene_pairs_same_direction,0.14
Speciation_gene_pairs_same_direction,0.2618
Speciation_gene_pairs_same_direction,0.0738
Speciation_gene_pairs_same_direction,0.0525
Speciation_gene_pairs_same_direction,0.1783
Speciation_gene_pairs_same_direction,0.3017
Speciation_gene_pairs_same_direction,0.1047
Speciation_gene_pairs_same_direction,0.0632
Speciation_gene_pairs_same_direction,0.1284
Speciation_gene_pairs_same_direction,0.0759
Speciation_gene_pairs_same_direction,0.0012
Speciation_gene_pairs_same_direction,0.2805
Speciation_gene_pairs_same_direction,0.2094
Speciation_gene_pairs_same_direction,0.0789
Speciation_gene_pairs_same_direction,0.121
Speciation_gene_pairs_same_direction,0.0849
Speciation_gene_pairs_same_direction,0.1992
Speciation_gene_pairs_same_direction,0.1164
