Type,ka
Speciation_gene_pairs_same_direction,0.141576
Speciation_gene_pairs_same_direction,0.0267993
Speciation_gene_pairs_same_direction,0.111077
Speciation_gene_pairs_same_direction,0.0537645
Speciation_gene_pairs_same_direction,0.0557428
Speciation_gene_pairs_same_direction,0.307898
Speciation_gene_pairs_same_direction,0.0624485
Speciation_gene_pairs_same_direction,0.11278
Speciation_gene_pairs_same_direction,0.0761084
Speciation_gene_pairs_same_direction,0.15333
Speciation_gene_pairs_same_direction,0.0469031
Speciation_gene_pairs_same_direction,0.202256
Speciation_gene_pairs_same_direction,0.236142
Speciation_gene_pairs_same_direction,0.127885
Speciation_gene_pairs_same_direction,0.417475
Speciation_gene_pairs_same_direction,0.169513
Speciation_gene_pairs_same_direction,0.0751574
Speciation_gene_pairs_same_direction,0.172553
Speciation_gene_pairs_same_direction,0.305116
Speciation_gene_pairs_same_direction,0.369177
Speciation_gene_pairs_same_direction,0.133138
Speciation_gene_pairs_same_direction,0.0688342
Speciation_gene_pairs_same_direction,0.107027
Speciation_gene_pairs_same_direction,0.135819
Speciation_gene_pairs_same_direction,0.147494
Speciation_gene_pairs_same_direction,0.305251
Speciation_gene_pairs_same_direction,0.0600604
Speciation_gene_pairs_same_direction,0.0502224
