Type,ks
Speciation_gene_pairs_same_direction,1.1371
Speciation_gene_pairs_same_direction,0.641516
Speciation_gene_pairs_same_direction,1.34285
Speciation_gene_pairs_same_direction,0.598582
Speciation_gene_pairs_same_direction,1.17917
Speciation_gene_pairs_same_direction,1.59255
Speciation_gene_pairs_same_direction,0.804242
Speciation_gene_pairs_same_direction,1.23161
Speciation_gene_pairs_same_direction,1.6053
Speciation_gene_pairs_same_direction,1.11063
Speciation_gene_pairs_same_direction,0.652028
Speciation_gene_pairs_same_direction,0.669949
Speciation_gene_pairs_same_direction,0.492318
Speciation_gene_pairs_same_direction,0.7041
Speciation_gene_pairs_same_direction,1.36885
Speciation_gene_pairs_same_direction,1.05614
Speciation_gene_pairs_same_direction,0.800602
Speciation_gene_pairs_same_direction,1.43035
Speciation_gene_pairs_same_direction,0.812313
Speciation_gene_pairs_same_direction,1.03001
Speciation_gene_pairs_same_direction,0.703961
Speciation_gene_pairs_same_direction,0.627208
Speciation_gene_pairs_same_direction,0.860075
Speciation_gene_pairs_same_direction,2.06806
Speciation_gene_pairs_same_direction,0.75891
Speciation_gene_pairs_same_direction,2.17989
Speciation_gene_pairs_same_direction,0.606749
Speciation_gene_pairs_same_direction,2.33023
