Type,omega
Speciation_gene_pairs_same_direction,0.209366
Speciation_gene_pairs_same_direction,0.0512401
Speciation_gene_pairs_same_direction,0.0245313
Speciation_gene_pairs_same_direction,0.0817259
Speciation_gene_pairs_same_direction,0.0381901
Speciation_gene_pairs_same_direction,0.172888
Speciation_gene_pairs_same_direction,0.144048
Speciation_gene_pairs_same_direction,0.0756129
Speciation_gene_pairs_same_direction,0.0341821
Speciation_gene_pairs_same_direction,0.264726
Speciation_gene_pairs_same_direction,0.326077
Speciation_gene_pairs_same_direction,0.306454
Speciation_gene_pairs_same_direction,0.0517675
Speciation_gene_pairs_same_direction,0.0806673
Speciation_gene_pairs_same_direction,0.0709679
Speciation_gene_pairs_same_direction,0.168621
Speciation_gene_pairs_same_direction,0.0535394
Speciation_gene_pairs_same_direction,0.100115
Speciation_gene_pairs_same_direction,0.02665
Speciation_gene_pairs_same_direction,0.0499677
Speciation_gene_pairs_same_direction,0.175392
Speciation_gene_pairs_same_direction,0.300692
Speciation_gene_pairs_same_direction,0.0887789
Speciation_gene_pairs_same_direction,0.188024
Speciation_gene_pairs_same_direction,0.163442
Speciation_gene_pairs_same_direction,0.169391
Speciation_gene_pairs_same_direction,0.072319
Speciation_gene_pairs_same_direction,0.225186
