Type,ka
Speciation_gene_pairs_same_direction,0.0839
Speciation_gene_pairs_same_direction,0.1966
Speciation_gene_pairs_same_direction,0.1169
Speciation_gene_pairs_same_direction,0.1748
Speciation_gene_pairs_same_direction,0.548
Speciation_gene_pairs_same_direction,0.0709
Speciation_gene_pairs_same_direction,0.3918
Speciation_gene_pairs_same_direction,0.1242
Speciation_gene_pairs_same_direction,0.1216
Speciation_gene_pairs_same_direction,0.1135
Speciation_gene_pairs_same_direction,0.2722
Speciation_gene_pairs_same_direction,0.1739
Speciation_gene_pairs_same_direction,0.0693
Speciation_gene_pairs_same_direction,0.3062
Speciation_gene_pairs_same_direction,0.1337
Speciation_gene_pairs_same_direction,0.0399
Speciation_gene_pairs_same_direction,0.0841
Speciation_gene_pairs_same_direction,0.2028
Speciation_gene_pairs_same_direction,0.3224
Speciation_gene_pairs_same_direction,0.3179
Speciation_gene_pairs_same_direction,0.0183
Speciation_gene_pairs_same_direction,0.3144
Speciation_gene_pairs_same_direction,0.1061
Speciation_gene_pairs_same_direction,0.2398
Speciation_gene_pairs_same_direction,0.1385
Speciation_gene_pairs_same_direction,0.1575
Speciation_gene_pairs_same_direction,0.3872
Speciation_gene_pairs_same_direction,0.1179
