Type,omega
Speciation_gene_pairs_same_direction,0.2423
Speciation_gene_pairs_same_direction,0.3555
Speciation_gene_pairs_same_direction,0.2634
Speciation_gene_pairs_same_direction,0.2475
Speciation_gene_pairs_same_direction,0.0771
Speciation_gene_pairs_same_direction,0.1859
Speciation_gene_pairs_same_direction,0.6551
Speciation_gene_pairs_same_direction,0.4727
Speciation_gene_pairs_same_direction,0.1292
Speciation_gene_pairs_same_direction,0.5165
Speciation_gene_pairs_same_direction,0.1281
Speciation_gene_pairs_same_direction,0.5699
Speciation_gene_pairs_same_direction,0.1212
Speciation_gene_pairs_same_direction,0.2047
Speciation_gene_pairs_same_direction,0.107
Speciation_gene_pairs_same_direction,0.1936
Speciation_gene_pairs_same_direction,0.1125
Speciation_gene_pairs_same_direction,0.0547
Speciation_gene_pairs_same_direction,0.1877
Speciation_gene_pairs_same_direction,0.0578
Speciation_gene_pairs_same_direction,0.2552
Speciation_gene_pairs_same_direction,0.0836
Speciation_gene_pairs_same_direction,0.1134
Speciation_gene_pairs_same_direction,0.2213
Speciation_gene_pairs_same_direction,0.1894
Speciation_gene_pairs_same_direction,0.1051
Speciation_gene_pairs_same_direction,0.1694
Speciation_gene_pairs_same_direction,0.2768
