Type,ka
Speciation_gene_pairs_same_direction,0.0808
Speciation_gene_pairs_same_direction,0.2227
Speciation_gene_pairs_same_direction,0.2819
Speciation_gene_pairs_same_direction,0.1774
Speciation_gene_pairs_same_direction,0.1145
Speciation_gene_pairs_same_direction,0.1088
Speciation_gene_pairs_same_direction,0.1578
Speciation_gene_pairs_same_direction,0.167
Speciation_gene_pairs_same_direction,0.1294
Speciation_gene_pairs_same_direction,0.2032
Speciation_gene_pairs_same_direction,0.1027
Speciation_gene_pairs_same_direction,0.0994
Speciation_gene_pairs_same_direction,0.2819
Speciation_gene_pairs_same_direction,0.139
Speciation_gene_pairs_same_direction,0.1351
Speciation_gene_pairs_same_direction,0.2907
Speciation_gene_pairs_same_direction,0.1769
Speciation_gene_pairs_same_direction,0.1132
Speciation_gene_pairs_same_direction,0.2367
Speciation_gene_pairs_same_direction,0.159
Speciation_gene_pairs_same_direction,0.4042
Speciation_gene_pairs_same_direction,0.1044
Speciation_gene_pairs_same_direction,0.192
Speciation_gene_pairs_same_direction,0.2466
Speciation_gene_pairs_same_direction,0.1032
Speciation_gene_pairs_same_direction,0.0027
Speciation_gene_pairs_same_direction,0.18
Speciation_gene_pairs_same_direction,0.2697
