Type,ks
Speciation_gene_pairs_same_direction,0.4816
Speciation_gene_pairs_same_direction,2.5794
Speciation_gene_pairs_same_direction,0.8739
Speciation_gene_pairs_same_direction,1.2745
Speciation_gene_pairs_same_direction,0.6615
Speciation_gene_pairs_same_direction,0.7015
Speciation_gene_pairs_same_direction,2.5028
Speciation_gene_pairs_same_direction,0.9779
Speciation_gene_pairs_same_direction,0.5316
Speciation_gene_pairs_same_direction,0.8746
Speciation_gene_pairs_same_direction,0.7652
Speciation_gene_pairs_same_direction,0.6001
Speciation_gene_pairs_same_direction,0.4084
Speciation_gene_pairs_same_direction,0.7801
Speciation_gene_pairs_same_direction,1.2984
Speciation_gene_pairs_same_direction,2.4185
Speciation_gene_pairs_same_direction,0.6459
Speciation_gene_pairs_same_direction,0.7448
Speciation_gene_pairs_same_direction,0.7619
Speciation_gene_pairs_same_direction,0.564
Speciation_gene_pairs_same_direction,0.6606
Speciation_gene_pairs_same_direction,0.5943
Speciation_gene_pairs_same_direction,0.8435
Speciation_gene_pairs_same_direction,0.5398
Speciation_gene_pairs_same_direction,0.6146
Speciation_gene_pairs_same_direction,1.2994
Speciation_gene_pairs_same_direction,0.862
Speciation_gene_pairs_same_direction,1.3081
