Type,omega
Speciation_gene_pairs_same_direction,0.1488
Speciation_gene_pairs_same_direction,0.0567
Speciation_gene_pairs_same_direction,0.1062
Speciation_gene_pairs_same_direction,0.2183
Speciation_gene_pairs_same_direction,0.0452
Speciation_gene_pairs_same_direction,0.0472
Speciation_gene_pairs_same_direction,0.1551
Speciation_gene_pairs_same_direction,0.1585
Speciation_gene_pairs_same_direction,0.0616
Speciation_gene_pairs_same_direction,0.1809
Speciation_gene_pairs_same_direction,0.0476
Speciation_gene_pairs_same_direction,0.1084
Speciation_gene_pairs_same_direction,0.1442
Speciation_gene_pairs_same_direction,0.0972
Speciation_gene_pairs_same_direction,0.2895
Speciation_gene_pairs_same_direction,0.2841
Speciation_gene_pairs_same_direction,0.2757
Speciation_gene_pairs_same_direction,0.0238
Speciation_gene_pairs_same_direction,0.0436
Speciation_gene_pairs_same_direction,0.4198
Speciation_gene_pairs_same_direction,0.2521
Speciation_gene_pairs_same_direction,0.2775
Speciation_gene_pairs_same_direction,0.1536
Speciation_gene_pairs_same_direction,0.1788
Speciation_gene_pairs_same_direction,0.0699
Speciation_gene_pairs_same_direction,0.1148
Speciation_gene_pairs_same_direction,0.3465
Speciation_gene_pairs_same_direction,0.1118
