Type,ks
Speciation_gene_pairs_same_direction,1.00926
Speciation_gene_pairs_same_direction,1.1311
Speciation_gene_pairs_same_direction,0.773154
Speciation_gene_pairs_same_direction,0.664822
Speciation_gene_pairs_same_direction,1.16389
Speciation_gene_pairs_same_direction,0.734822
Speciation_gene_pairs_same_direction,1.07755
Speciation_gene_pairs_same_direction,1.07021
Speciation_gene_pairs_same_direction,0.768592
Speciation_gene_pairs_same_direction,0.627102
Speciation_gene_pairs_same_direction,1.45189
Speciation_gene_pairs_same_direction,1.10294
Speciation_gene_pairs_same_direction,0.868795
Speciation_gene_pairs_same_direction,0.983272
Speciation_gene_pairs_same_direction,0.829331
Speciation_gene_pairs_same_direction,0.875096
Speciation_gene_pairs_same_direction,0.727664
Speciation_gene_pairs_same_direction,1.57969
Speciation_gene_pairs_same_direction,0.628292
Speciation_gene_pairs_same_direction,1.03676
Speciation_gene_pairs_same_direction,0.779979
Speciation_gene_pairs_same_direction,0.889418
Speciation_gene_pairs_same_direction,1.78819
Speciation_gene_pairs_same_direction,1.11183
Speciation_gene_pairs_same_direction,0.679651
Speciation_gene_pairs_same_direction,0.94722
Speciation_gene_pairs_same_direction,0.635108
Speciation_gene_pairs_same_direction,1.06494
