Type,ks
Speciation_gene_pairs_same_direction,0.5874
Speciation_gene_pairs_same_direction,0.878
Speciation_gene_pairs_same_direction,0.6276
Speciation_gene_pairs_same_direction,0.7206
Speciation_gene_pairs_same_direction,0.7907
Speciation_gene_pairs_same_direction,0.8385
Speciation_gene_pairs_same_direction,0.4433
Speciation_gene_pairs_same_direction,0.7822
Speciation_gene_pairs_same_direction,0.5572
Speciation_gene_pairs_same_direction,0.9075
Speciation_gene_pairs_same_direction,0.8308
Speciation_gene_pairs_same_direction,0.7746
Speciation_gene_pairs_same_direction,1.275
Speciation_gene_pairs_same_direction,0.7713
Speciation_gene_pairs_same_direction,1.3736
Speciation_gene_pairs_same_direction,0.5423
Speciation_gene_pairs_same_direction,0.9776
Speciation_gene_pairs_same_direction,0.8674
Speciation_gene_pairs_same_direction,0.9535
Speciation_gene_pairs_same_direction,1.6252
Speciation_gene_pairs_same_direction,0.7161
Speciation_gene_pairs_same_direction,0.6082
Speciation_gene_pairs_same_direction,0.8381
Speciation_gene_pairs_same_direction,0.896
Speciation_gene_pairs_same_direction,1.2642
Speciation_gene_pairs_same_direction,0.8648
Speciation_gene_pairs_same_direction,0.7054
Speciation_gene_pairs_same_direction,0.7609
