Type,omega
Speciation_gene_pairs_same_direction,0.1448
Speciation_gene_pairs_same_direction,0.1613
Speciation_gene_pairs_same_direction,0.1855
Speciation_gene_pairs_same_direction,0.1753
Speciation_gene_pairs_same_direction,0.0303
Speciation_gene_pairs_same_direction,0.2019
Speciation_gene_pairs_same_direction,0.0678
Speciation_gene_pairs_same_direction,0.2046
Speciation_gene_pairs_same_direction,0.1978
Speciation_gene_pairs_same_direction,0.1147
Speciation_gene_pairs_same_direction,0.1704
Speciation_gene_pairs_same_direction,0.2683
Speciation_gene_pairs_same_direction,0.0406
Speciation_gene_pairs_same_direction,0.0067
Speciation_gene_pairs_same_direction,0.1354
Speciation_gene_pairs_same_direction,0.2163
Speciation_gene_pairs_same_direction,0.3881
Speciation_gene_pairs_same_direction,0.0615
Speciation_gene_pairs_same_direction,0.1404
Speciation_gene_pairs_same_direction,0.0041
Speciation_gene_pairs_same_direction,0.0573
Speciation_gene_pairs_same_direction,0.3104
Speciation_gene_pairs_same_direction,0.2685
Speciation_gene_pairs_same_direction,0.088
Speciation_gene_pairs_same_direction,0.044
Speciation_gene_pairs_same_direction,0.0491
Speciation_gene_pairs_same_direction,0.284
Speciation_gene_pairs_same_direction,0.1227
