Type,ks
Speciation_gene_pairs_same_direction,1.12574
Speciation_gene_pairs_same_direction,1.507
Speciation_gene_pairs_same_direction,0.973224
Speciation_gene_pairs_same_direction,1.91301
Speciation_gene_pairs_same_direction,0.800598
Speciation_gene_pairs_same_direction,1.25353
Speciation_gene_pairs_same_direction,0.953613
Speciation_gene_pairs_same_direction,0.942679
Speciation_gene_pairs_same_direction,0.81415
Speciation_gene_pairs_same_direction,1.2429
Speciation_gene_pairs_same_direction,0.854685
Speciation_gene_pairs_same_direction,0.874319
Speciation_gene_pairs_same_direction,1.32215
Speciation_gene_pairs_same_direction,1.20597
Speciation_gene_pairs_same_direction,1.41435
Speciation_gene_pairs_same_direction,0.899581
Speciation_gene_pairs_same_direction,0.665191
Speciation_gene_pairs_same_direction,0.520044
Speciation_gene_pairs_same_direction,1.55516
Speciation_gene_pairs_same_direction,0.981751
Speciation_gene_pairs_same_direction,0.753382
Speciation_gene_pairs_same_direction,0.933069
Speciation_gene_pairs_same_direction,0.605911
Speciation_gene_pairs_same_direction,0.734845
Speciation_gene_pairs_same_direction,0.705422
Speciation_gene_pairs_same_direction,0.837831
Speciation_gene_pairs_same_direction,2.37159
Speciation_gene_pairs_same_direction,1.70623
