Type,ka
Speciation_gene_pairs_same_direction,0.1681
Speciation_gene_pairs_same_direction,0.1643
Speciation_gene_pairs_same_direction,0.2116
Speciation_gene_pairs_same_direction,0.2232
Speciation_gene_pairs_same_direction,0.3585
Speciation_gene_pairs_same_direction,0.0661
Speciation_gene_pairs_same_direction,0.2044
Speciation_gene_pairs_same_direction,0.1244
Speciation_gene_pairs_same_direction,0.1836
Speciation_gene_pairs_same_direction,0.2047
Speciation_gene_pairs_same_direction,0.1136
Speciation_gene_pairs_same_direction,0.0344
Speciation_gene_pairs_same_direction,0.5112
Speciation_gene_pairs_same_direction,0.1045
Speciation_gene_pairs_same_direction,0.2663
Speciation_gene_pairs_same_direction,0.0872
Speciation_gene_pairs_same_direction,0.0569
Speciation_gene_pairs_same_direction,0.3867
Speciation_gene_pairs_same_direction,0.0656
Speciation_gene_pairs_same_direction,0.2078
Speciation_gene_pairs_same_direction,0.1001
Speciation_gene_pairs_same_direction,0.1508
Speciation_gene_pairs_same_direction,0.1508
Speciation_gene_pairs_same_direction,0.4121
Speciation_gene_pairs_same_direction,0.1536
Speciation_gene_pairs_same_direction,0.2166
Speciation_gene_pairs_same_direction,0.1296
Speciation_gene_pairs_same_direction,0.0558
