Type,ks
Speciation_gene_pairs_same_direction,0.6703
Speciation_gene_pairs_same_direction,0.9311
Speciation_gene_pairs_same_direction,0.586
Speciation_gene_pairs_same_direction,0.5578
Speciation_gene_pairs_same_direction,0.6802
Speciation_gene_pairs_same_direction,0.7815
Speciation_gene_pairs_same_direction,1.8839
Speciation_gene_pairs_same_direction,0.7422
Speciation_gene_pairs_same_direction,1.0012
Speciation_gene_pairs_same_direction,0.4715
Speciation_gene_pairs_same_direction,1.4317
Speciation_gene_pairs_same_direction,0.7986
Speciation_gene_pairs_same_direction,0.7759
Speciation_gene_pairs_same_direction,0.9303
Speciation_gene_pairs_same_direction,1.1218
Speciation_gene_pairs_same_direction,0.657
Speciation_gene_pairs_same_direction,0.4801
Speciation_gene_pairs_same_direction,0.5894
Speciation_gene_pairs_same_direction,0.8241
Speciation_gene_pairs_same_direction,1.1504
Speciation_gene_pairs_same_direction,0.6175
Speciation_gene_pairs_same_direction,0.7256
Speciation_gene_pairs_same_direction,0.9347
Speciation_gene_pairs_same_direction,0.6336
Speciation_gene_pairs_same_direction,1.2749
Speciation_gene_pairs_same_direction,0.6367
Speciation_gene_pairs_same_direction,0.8152
Speciation_gene_pairs_same_direction,0.6475
