Type,omega
Speciation_gene_pairs_same_direction,0.2049
Speciation_gene_pairs_same_direction,0.3699
Speciation_gene_pairs_same_direction,0.3196
Speciation_gene_pairs_same_direction,0.1866
Speciation_gene_pairs_same_direction,0.1693
Speciation_gene_pairs_same_direction,0.0352
Speciation_gene_pairs_same_direction,0.2517
Speciation_gene_pairs_same_direction,0.1372
Speciation_gene_pairs_same_direction,0.1302
Speciation_gene_pairs_same_direction,0.1502
Speciation_gene_pairs_same_direction,0.1297
Speciation_gene_pairs_same_direction,0.3577
Speciation_gene_pairs_same_direction,0.3646
Speciation_gene_pairs_same_direction,0.1151
Speciation_gene_pairs_same_direction,0.2829
Speciation_gene_pairs_same_direction,0.1771
Speciation_gene_pairs_same_direction,0.2182
Speciation_gene_pairs_same_direction,0.1429
Speciation_gene_pairs_same_direction,0.17
Speciation_gene_pairs_same_direction,0.1556
Speciation_gene_pairs_same_direction,0.0314
Speciation_gene_pairs_same_direction,0.2531
Speciation_gene_pairs_same_direction,0.2063
Speciation_gene_pairs_same_direction,0.2416
Speciation_gene_pairs_same_direction,0.0994
Speciation_gene_pairs_same_direction,0.1838
Speciation_gene_pairs_same_direction,0.2291
Speciation_gene_pairs_same_direction,0.0686
