Type,ks
Speciation_gene_pairs_same_direction,0.9494
Speciation_gene_pairs_same_direction,1.9049
Speciation_gene_pairs_same_direction,1.1825
Speciation_gene_pairs_same_direction,1.188
Speciation_gene_pairs_same_direction,0.7033
Speciation_gene_pairs_same_direction,0.9238
Speciation_gene_pairs_same_direction,0.6471
Speciation_gene_pairs_same_direction,0.7094
Speciation_gene_pairs_same_direction,0.7406
Speciation_gene_pairs_same_direction,1.021
Speciation_gene_pairs_same_direction,2.8858
Speciation_gene_pairs_same_direction,0.7854
Speciation_gene_pairs_same_direction,2.2639
Speciation_gene_pairs_same_direction,0.647
Speciation_gene_pairs_same_direction,0.5816
Speciation_gene_pairs_same_direction,1.9659
Speciation_gene_pairs_same_direction,2.0488
Speciation_gene_pairs_same_direction,1.6918
Speciation_gene_pairs_same_direction,0.5892
Speciation_gene_pairs_same_direction,1.0366
Speciation_gene_pairs_same_direction,0.9678
Speciation_gene_pairs_same_direction,0.5015
Speciation_gene_pairs_same_direction,1.0757
Speciation_gene_pairs_same_direction,2.4285
Speciation_gene_pairs_same_direction,0.7178
Speciation_gene_pairs_same_direction,1.3905
Speciation_gene_pairs_same_direction,0.5248
Speciation_gene_pairs_same_direction,2.2873
