Type,ks
Speciation_gene_pairs_same_direction,0.779549
Speciation_gene_pairs_same_direction,1.69929
Speciation_gene_pairs_same_direction,0.717712
Speciation_gene_pairs_same_direction,0.608681
Speciation_gene_pairs_same_direction,1.13268
Speciation_gene_pairs_same_direction,1.33509
Speciation_gene_pairs_same_direction,1.57941
Speciation_gene_pairs_same_direction,0.781335
Speciation_gene_pairs_same_direction,0.700152
Speciation_gene_pairs_same_direction,1.06511
Speciation_gene_pairs_same_direction,2.23542
Speciation_gene_pairs_same_direction,0.908701
Speciation_gene_pairs_same_direction,0.685599
Speciation_gene_pairs_same_direction,2.91865
Speciation_gene_pairs_same_direction,0.732364
Speciation_gene_pairs_same_direction,0.885191
Speciation_gene_pairs_same_direction,0.933691
Speciation_gene_pairs_same_direction,1.18667
Speciation_gene_pairs_same_direction,1.81847
Speciation_gene_pairs_same_direction,0.842413
Speciation_gene_pairs_same_direction,0.64023
Speciation_gene_pairs_same_direction,1.46089
Speciation_gene_pairs_same_direction,0.665811
Speciation_gene_pairs_same_direction,0.943001
Speciation_gene_pairs_same_direction,0.739472
Speciation_gene_pairs_same_direction,0.878672
Speciation_gene_pairs_same_direction,0.845298
Speciation_gene_pairs_same_direction,2.24834
