Type,ka
Speciation_gene_pairs_same_direction,0.1969
Speciation_gene_pairs_same_direction,0.3682
Speciation_gene_pairs_same_direction,0.1514
Speciation_gene_pairs_same_direction,0.3483
Speciation_gene_pairs_same_direction,0.0485
Speciation_gene_pairs_same_direction,0.1179
Speciation_gene_pairs_same_direction,0.1632
Speciation_gene_pairs_same_direction,0.2288
Speciation_gene_pairs_same_direction,0.2324
Speciation_gene_pairs_same_direction,0.1891
Speciation_gene_pairs_same_direction,0.3092
Speciation_gene_pairs_same_direction,0.0966
Speciation_gene_pairs_same_direction,0.1689
Speciation_gene_pairs_same_direction,0.2774
Speciation_gene_pairs_same_direction,0.0744
Speciation_gene_pairs_same_direction,0.1484
Speciation_gene_pairs_same_direction,0.0468
Speciation_gene_pairs_same_direction,0.1941
Speciation_gene_pairs_same_direction,0.1587
Speciation_gene_pairs_same_direction,0.24
Speciation_gene_pairs_same_direction,0.1604
Speciation_gene_pairs_same_direction,0.156
Speciation_gene_pairs_same_direction,0.0445
Speciation_gene_pairs_same_direction,0.3174
Speciation_gene_pairs_same_direction,0.2348
Speciation_gene_pairs_same_direction,0.0956
Speciation_gene_pairs_same_direction,0.2573
Speciation_gene_pairs_same_direction,0.2969
