Type,ks
Speciation_gene_pairs_same_direction,0.6445
Speciation_gene_pairs_same_direction,2.0563
Speciation_gene_pairs_same_direction,0.5089
Speciation_gene_pairs_same_direction,0.6225
Speciation_gene_pairs_same_direction,0.5937
Speciation_gene_pairs_same_direction,0.3565
Speciation_gene_pairs_same_direction,0.6663
Speciation_gene_pairs_same_direction,0.7274
Speciation_gene_pairs_same_direction,1.3468
Speciation_gene_pairs_same_direction,0.4294
Speciation_gene_pairs_same_direction,1.3697
Speciation_gene_pairs_same_direction,0.954
Speciation_gene_pairs_same_direction,0.781
Speciation_gene_pairs_same_direction,0.6818
Speciation_gene_pairs_same_direction,1.9863
Speciation_gene_pairs_same_direction,0.7152
Speciation_gene_pairs_same_direction,0.922
Speciation_gene_pairs_same_direction,0.5865
Speciation_gene_pairs_same_direction,2.6055
Speciation_gene_pairs_same_direction,0.5923
Speciation_gene_pairs_same_direction,0.4149
Speciation_gene_pairs_same_direction,0.918
Speciation_gene_pairs_same_direction,0.4793
Speciation_gene_pairs_same_direction,0.6301
Speciation_gene_pairs_same_direction,0.5576
Speciation_gene_pairs_same_direction,0.5764
Speciation_gene_pairs_same_direction,2.6509
Speciation_gene_pairs_same_direction,0.557
