Type,omega
Speciation_gene_pairs_same_direction,0.135
Speciation_gene_pairs_same_direction,0.2491
Speciation_gene_pairs_same_direction,0.1172
Speciation_gene_pairs_same_direction,0.1068
Speciation_gene_pairs_same_direction,0.0788
Speciation_gene_pairs_same_direction,0.2315
Speciation_gene_pairs_same_direction,0.0674
Speciation_gene_pairs_same_direction,0.0586
Speciation_gene_pairs_same_direction,0.1089
Speciation_gene_pairs_same_direction,0.1368
Speciation_gene_pairs_same_direction,0.1893
Speciation_gene_pairs_same_direction,0.0357
Speciation_gene_pairs_same_direction,0.0481
Speciation_gene_pairs_same_direction,0.0261
Speciation_gene_pairs_same_direction,0.343
Speciation_gene_pairs_same_direction,0.0872
Speciation_gene_pairs_same_direction,0.0236
Speciation_gene_pairs_same_direction,0.2184
Speciation_gene_pairs_same_direction,0.0352
Speciation_gene_pairs_same_direction,0.0571
Speciation_gene_pairs_same_direction,0.179
Speciation_gene_pairs_same_direction,0.1462
Speciation_gene_pairs_same_direction,0.2271
Speciation_gene_pairs_same_direction,0.0315
Speciation_gene_pairs_same_direction,0.1395
Speciation_gene_pairs_same_direction,0.4533
Speciation_gene_pairs_same_direction,0.3438
Speciation_gene_pairs_same_direction,0.179
