Type,omega
Speciation_gene_pairs_same_direction,0.0647305
Speciation_gene_pairs_same_direction,0.250784
Speciation_gene_pairs_same_direction,0.104005
Speciation_gene_pairs_same_direction,0.496695
Speciation_gene_pairs_same_direction,0.0302275
Speciation_gene_pairs_same_direction,0.0867144
Speciation_gene_pairs_same_direction,0.157672
Speciation_gene_pairs_same_direction,0.104457
Speciation_gene_pairs_same_direction,0.308201
Speciation_gene_pairs_same_direction,0.197585
Speciation_gene_pairs_same_direction,0.0425022
Speciation_gene_pairs_same_direction,0.169711
Speciation_gene_pairs_same_direction,0.220791
Speciation_gene_pairs_same_direction,0.121975
Speciation_gene_pairs_same_direction,0.122264
Speciation_gene_pairs_same_direction,0.454738
Speciation_gene_pairs_same_direction,0.107546
Speciation_gene_pairs_same_direction,0.0863946
Speciation_gene_pairs_same_direction,0.0357469
Speciation_gene_pairs_same_direction,0.251584
Speciation_gene_pairs_same_direction,0.124014
Speciation_gene_pairs_same_direction,0.169308
Speciation_gene_pairs_same_direction,0.083821
Speciation_gene_pairs_same_direction,0.144441
Speciation_gene_pairs_same_direction,0.102279
Speciation_gene_pairs_same_direction,0.162049
Speciation_gene_pairs_same_direction,0.0739917
Speciation_gene_pairs_same_direction,0.383718
