Type,ks
Speciation_gene_pairs_same_direction,0.7779
Speciation_gene_pairs_same_direction,0.7178
Speciation_gene_pairs_same_direction,0.748
Speciation_gene_pairs_same_direction,0.7527
Speciation_gene_pairs_same_direction,1.0197
Speciation_gene_pairs_same_direction,0.5491
Speciation_gene_pairs_same_direction,0.6832
Speciation_gene_pairs_same_direction,0.6402
Speciation_gene_pairs_same_direction,0.931
Speciation_gene_pairs_same_direction,0.7173
Speciation_gene_pairs_same_direction,1.3341
Speciation_gene_pairs_same_direction,0.718
Speciation_gene_pairs_same_direction,0.9435
Speciation_gene_pairs_same_direction,0.7099
Speciation_gene_pairs_same_direction,1.0769
Speciation_gene_pairs_same_direction,0.7279
Speciation_gene_pairs_same_direction,1.2618
Speciation_gene_pairs_same_direction,0.7644
Speciation_gene_pairs_same_direction,0.489
Speciation_gene_pairs_same_direction,0.4922
Speciation_gene_pairs_same_direction,1.3125
Speciation_gene_pairs_same_direction,0.9459
Speciation_gene_pairs_same_direction,0.8151
Speciation_gene_pairs_same_direction,0.5242
Speciation_gene_pairs_same_direction,0.6561
Speciation_gene_pairs_same_direction,0.6788
Speciation_gene_pairs_same_direction,0.5399
Speciation_gene_pairs_same_direction,0.6276
