Type,ks
Speciation_gene_pairs_same_direction,1.6048
Speciation_gene_pairs_same_direction,0.677
Speciation_gene_pairs_same_direction,0.6659
Speciation_gene_pairs_same_direction,1.7385
Speciation_gene_pairs_same_direction,0.4693
Speciation_gene_pairs_same_direction,0.8449
Speciation_gene_pairs_same_direction,1.3813
Speciation_gene_pairs_same_direction,0.8787
Speciation_gene_pairs_same_direction,1.6758
Speciation_gene_pairs_same_direction,0.6669
Speciation_gene_pairs_same_direction,1.8398
Speciation_gene_pairs_same_direction,0.5968
Speciation_gene_pairs_same_direction,0.7734
Speciation_gene_pairs_same_direction,1.1508
Speciation_gene_pairs_same_direction,0.5196
Speciation_gene_pairs_same_direction,1.187
Speciation_gene_pairs_same_direction,1.0302
Speciation_gene_pairs_same_direction,0.6634
Speciation_gene_pairs_same_direction,0.671
Speciation_gene_pairs_same_direction,0.8183
Speciation_gene_pairs_same_direction,1.1655
Speciation_gene_pairs_same_direction,0.5043
Speciation_gene_pairs_same_direction,0.876
Speciation_gene_pairs_same_direction,0.4723
Speciation_gene_pairs_same_direction,1.8332
Speciation_gene_pairs_same_direction,0.7758
Speciation_gene_pairs_same_direction,1.6572
Speciation_gene_pairs_same_direction,1.1864
