Type,omega
Speciation_gene_pairs_same_direction,0.3004
Speciation_gene_pairs_same_direction,0.2564
Speciation_gene_pairs_same_direction,0.0212
Speciation_gene_pairs_same_direction,0.0818
Speciation_gene_pairs_same_direction,0.1727
Speciation_gene_pairs_same_direction,0.0909
Speciation_gene_pairs_same_direction,0.1399
Speciation_gene_pairs_same_direction,0.2075
Speciation_gene_pairs_same_direction,0.1927
Speciation_gene_pairs_same_direction,0.1462
Speciation_gene_pairs_same_direction,0.1447
Speciation_gene_pairs_same_direction,0.1721
Speciation_gene_pairs_same_direction,0.0195
Speciation_gene_pairs_same_direction,0.0708
Speciation_gene_pairs_same_direction,0.0643
Speciation_gene_pairs_same_direction,0.0788
Speciation_gene_pairs_same_direction,0.118
Speciation_gene_pairs_same_direction,0.5584
Speciation_gene_pairs_same_direction,0.1579
Speciation_gene_pairs_same_direction,0.1395
Speciation_gene_pairs_same_direction,0.0938
Speciation_gene_pairs_same_direction,0.4547
Speciation_gene_pairs_same_direction,0.1822
Speciation_gene_pairs_same_direction,0.0221
Speciation_gene_pairs_same_direction,0.0195
Speciation_gene_pairs_same_direction,0.1816
Speciation_gene_pairs_same_direction,0.0282
Speciation_gene_pairs_same_direction,0.0121
