Type,ks
Speciation_gene_pairs_same_direction,0.61939
Speciation_gene_pairs_same_direction,0.844519
Speciation_gene_pairs_same_direction,0.911195
Speciation_gene_pairs_same_direction,2.24597
Speciation_gene_pairs_same_direction,1.2139
Speciation_gene_pairs_same_direction,0.861079
Speciation_gene_pairs_same_direction,2.63083
Speciation_gene_pairs_same_direction,2.17965
Speciation_gene_pairs_same_direction,0.73952
Speciation_gene_pairs_same_direction,0.978384
Speciation_gene_pairs_same_direction,1.37744
Speciation_gene_pairs_same_direction,0.901193
Speciation_gene_pairs_same_direction,1.46608
Speciation_gene_pairs_same_direction,0.788374
Speciation_gene_pairs_same_direction,0.941272
Speciation_gene_pairs_same_direction,0.791556
Speciation_gene_pairs_same_direction,2.77027
Speciation_gene_pairs_same_direction,1.9194
Speciation_gene_pairs_same_direction,1.56519
Speciation_gene_pairs_same_direction,1.3564
Speciation_gene_pairs_same_direction,2.67127
Speciation_gene_pairs_same_direction,1.27728
Speciation_gene_pairs_same_direction,1.04351
Speciation_gene_pairs_same_direction,2.6811
Speciation_gene_pairs_same_direction,1.58765
Speciation_gene_pairs_same_direction,0.812947
Speciation_gene_pairs_same_direction,1.63206
Speciation_gene_pairs_same_direction,0.812179
