Type,omega
Speciation_gene_pairs_same_direction,0.375584
Speciation_gene_pairs_same_direction,0.156118
Speciation_gene_pairs_same_direction,0.0394481
Speciation_gene_pairs_same_direction,0.344382
Speciation_gene_pairs_same_direction,0.0291107
Speciation_gene_pairs_same_direction,0.142631
Speciation_gene_pairs_same_direction,0.209133
Speciation_gene_pairs_same_direction,0.0578498
Speciation_gene_pairs_same_direction,0.132989
Speciation_gene_pairs_same_direction,0.205694
Speciation_gene_pairs_same_direction,0.115015
Speciation_gene_pairs_same_direction,0.251522
Speciation_gene_pairs_same_direction,0.120467
Speciation_gene_pairs_same_direction,0.108377
Speciation_gene_pairs_same_direction,0.0684621
Speciation_gene_pairs_same_direction,0.0999483
Speciation_gene_pairs_same_direction,0.337716
Speciation_gene_pairs_same_direction,0.21122
Speciation_gene_pairs_same_direction,0.105597
Speciation_gene_pairs_same_direction,0.147001
Speciation_gene_pairs_same_direction,0.181709
Speciation_gene_pairs_same_direction,0.113819
Speciation_gene_pairs_same_direction,0.235692
Speciation_gene_pairs_same_direction,0.126502
Speciation_gene_pairs_same_direction,0.0822768
Speciation_gene_pairs_same_direction,0.304056
Speciation_gene_pairs_same_direction,0.12372
Speciation_gene_pairs_same_direction,0.207958
