Type,ks
Speciation_gene_pairs_same_direction,0.8681
Speciation_gene_pairs_same_direction,0.5992
Speciation_gene_pairs_same_direction,0.7502
Speciation_gene_pairs_same_direction,0.7393
Speciation_gene_pairs_same_direction,0.6856
Speciation_gene_pairs_same_direction,0.6432
Speciation_gene_pairs_same_direction,0.9883
Speciation_gene_pairs_same_direction,0.9633
Speciation_gene_pairs_same_direction,0.7927
Speciation_gene_pairs_same_direction,1.0025
Speciation_gene_pairs_same_direction,0.9087
Speciation_gene_pairs_same_direction,0.8184
Speciation_gene_pairs_same_direction,0.5573
Speciation_gene_pairs_same_direction,0.6813
Speciation_gene_pairs_same_direction,1.5524
Speciation_gene_pairs_same_direction,0.8332
Speciation_gene_pairs_same_direction,0.9923
Speciation_gene_pairs_same_direction,0.6505
Speciation_gene_pairs_same_direction,1.3092
Speciation_gene_pairs_same_direction,0.5317
Speciation_gene_pairs_same_direction,1.1214
Speciation_gene_pairs_same_direction,0.6516
Speciation_gene_pairs_same_direction,1.1134
Speciation_gene_pairs_same_direction,0.5985
Speciation_gene_pairs_same_direction,0.3523
Speciation_gene_pairs_same_direction,0.8669
Speciation_gene_pairs_same_direction,0.7085
Speciation_gene_pairs_same_direction,0.6371
