Type,ka
Speciation_gene_pairs_same_direction,0.1215
Speciation_gene_pairs_same_direction,0.3364
Speciation_gene_pairs_same_direction,0.3283
Speciation_gene_pairs_same_direction,0.2424
Speciation_gene_pairs_same_direction,0.4071
Speciation_gene_pairs_same_direction,0.1009
Speciation_gene_pairs_same_direction,0.1612
Speciation_gene_pairs_same_direction,0.2807
Speciation_gene_pairs_same_direction,0.1695
Speciation_gene_pairs_same_direction,0.1463
Speciation_gene_pairs_same_direction,0.1767
Speciation_gene_pairs_same_direction,0.2003
Speciation_gene_pairs_same_direction,0.0678
Speciation_gene_pairs_same_direction,0.2462
Speciation_gene_pairs_same_direction,0.239
Speciation_gene_pairs_same_direction,0.1123
Speciation_gene_pairs_same_direction,0.4155
Speciation_gene_pairs_same_direction,0.3139
Speciation_gene_pairs_same_direction,0.1002
Speciation_gene_pairs_same_direction,0.2268
Speciation_gene_pairs_same_direction,0.0838
Speciation_gene_pairs_same_direction,0.1494
Speciation_gene_pairs_same_direction,0.5161
Speciation_gene_pairs_same_direction,0.1423
Speciation_gene_pairs_same_direction,0.0776
Speciation_gene_pairs_same_direction,0.0462
Speciation_gene_pairs_same_direction,0.2717
Speciation_gene_pairs_same_direction,0.0481
