Type,ks
Speciation_gene_pairs_same_direction,0.8212
Speciation_gene_pairs_same_direction,1.418
Speciation_gene_pairs_same_direction,0.9268
Speciation_gene_pairs_same_direction,0.6216
Speciation_gene_pairs_same_direction,1.5254
Speciation_gene_pairs_same_direction,1.093
Speciation_gene_pairs_same_direction,2.8739
Speciation_gene_pairs_same_direction,0.6633
Speciation_gene_pairs_same_direction,0.7706
Speciation_gene_pairs_same_direction,0.8587
Speciation_gene_pairs_same_direction,0.6489
Speciation_gene_pairs_same_direction,0.6557
Speciation_gene_pairs_same_direction,0.6816
Speciation_gene_pairs_same_direction,1.3075
Speciation_gene_pairs_same_direction,1.1506
Speciation_gene_pairs_same_direction,1.0183
Speciation_gene_pairs_same_direction,0.728
Speciation_gene_pairs_same_direction,1.7281
Speciation_gene_pairs_same_direction,1.3426
Speciation_gene_pairs_same_direction,0.6345
Speciation_gene_pairs_same_direction,0.6765
Speciation_gene_pairs_same_direction,0.8612
Speciation_gene_pairs_same_direction,1.0186
Speciation_gene_pairs_same_direction,1.2565
Speciation_gene_pairs_same_direction,0.6028
Speciation_gene_pairs_same_direction,0.9571
Speciation_gene_pairs_same_direction,2.5343
Speciation_gene_pairs_same_direction,1.2189
