Type,omega
Speciation_gene_pairs_same_direction,0.2341
Speciation_gene_pairs_same_direction,0.1954
Speciation_gene_pairs_same_direction,0.263
Speciation_gene_pairs_same_direction,0.1651
Speciation_gene_pairs_same_direction,0.0387
Speciation_gene_pairs_same_direction,0.1071
Speciation_gene_pairs_same_direction,0.1847
Speciation_gene_pairs_same_direction,0.0569
Speciation_gene_pairs_same_direction,0.1605
Speciation_gene_pairs_same_direction,0.1069
Speciation_gene_pairs_same_direction,0.232
Speciation_gene_pairs_same_direction,0.1667
Speciation_gene_pairs_same_direction,0.1601
Speciation_gene_pairs_same_direction,0.0956
Speciation_gene_pairs_same_direction,0.2183
Speciation_gene_pairs_same_direction,0.1145
Speciation_gene_pairs_same_direction,0.4061
Speciation_gene_pairs_same_direction,0.0234
Speciation_gene_pairs_same_direction,0.135
Speciation_gene_pairs_same_direction,0.214
Speciation_gene_pairs_same_direction,0.2494
Speciation_gene_pairs_same_direction,0.3893
Speciation_gene_pairs_same_direction,0.0558
Speciation_gene_pairs_same_direction,0.1025
Speciation_gene_pairs_same_direction,0.0559
Speciation_gene_pairs_same_direction,0.3405
Speciation_gene_pairs_same_direction,0.0223
Speciation_gene_pairs_same_direction,0.0401
