Type,ka
Speciation_gene_pairs_same_direction,0.137874
Speciation_gene_pairs_same_direction,0.179394
Speciation_gene_pairs_same_direction,0.0460448
Speciation_gene_pairs_same_direction,0.07089
Speciation_gene_pairs_same_direction,0.0835556
Speciation_gene_pairs_same_direction,0.315609
Speciation_gene_pairs_same_direction,0.203012
Speciation_gene_pairs_same_direction,0.0713521
Speciation_gene_pairs_same_direction,0.0756063
Speciation_gene_pairs_same_direction,0.0454166
Speciation_gene_pairs_same_direction,0.0826595
Speciation_gene_pairs_same_direction,0.12384
Speciation_gene_pairs_same_direction,0.0991884
Speciation_gene_pairs_same_direction,0.182277
Speciation_gene_pairs_same_direction,0.0823023
Speciation_gene_pairs_same_direction,0.132108
Speciation_gene_pairs_same_direction,0.0999067
Speciation_gene_pairs_same_direction,0.279738
Speciation_gene_pairs_same_direction,0.227179
Speciation_gene_pairs_same_direction,0.0974725
Speciation_gene_pairs_same_direction,0.246224
Speciation_gene_pairs_same_direction,0.0801077
Speciation_gene_pairs_same_direction,0.102635
Speciation_gene_pairs_same_direction,0.139595
Speciation_gene_pairs_same_direction,0.240476
Speciation_gene_pairs_same_direction,0.113918
Speciation_gene_pairs_same_direction,0.264782
Speciation_gene_pairs_same_direction,0.279895
