Type,ks
Speciation_gene_pairs_same_direction,1.67369
Speciation_gene_pairs_same_direction,0.86528
Speciation_gene_pairs_same_direction,0.759963
Speciation_gene_pairs_same_direction,1.31543
Speciation_gene_pairs_same_direction,0.80595
Speciation_gene_pairs_same_direction,2.73869
Speciation_gene_pairs_same_direction,0.789156
Speciation_gene_pairs_same_direction,1.90765
Speciation_gene_pairs_same_direction,1.14069
Speciation_gene_pairs_same_direction,0.852374
Speciation_gene_pairs_same_direction,0.715097
Speciation_gene_pairs_same_direction,1.35416
Speciation_gene_pairs_same_direction,0.68314
Speciation_gene_pairs_same_direction,0.809511
Speciation_gene_pairs_same_direction,1.29037
Speciation_gene_pairs_same_direction,0.942158
Speciation_gene_pairs_same_direction,0.638719
Speciation_gene_pairs_same_direction,2.28781
Speciation_gene_pairs_same_direction,0.853849
Speciation_gene_pairs_same_direction,1.13391
Speciation_gene_pairs_same_direction,1.05912
Speciation_gene_pairs_same_direction,0.679324
Speciation_gene_pairs_same_direction,1.13172
Speciation_gene_pairs_same_direction,0.875897
Speciation_gene_pairs_same_direction,0.991683
Speciation_gene_pairs_same_direction,2.93999
Speciation_gene_pairs_same_direction,0.738538
Speciation_gene_pairs_same_direction,0.900475
