Type,ks
Speciation_gene_pairs_same_direction,0.5019
Speciation_gene_pairs_same_direction,0.7748
Speciation_gene_pairs_same_direction,0.7563
Speciation_gene_pairs_same_direction,1.6604
Speciation_gene_pairs_same_direction,0.6404
Speciation_gene_pairs_same_direction,0.4794
Speciation_gene_pairs_same_direction,0.777
Speciation_gene_pairs_same_direction,0.6017
Speciation_gene_pairs_same_direction,0.8886
Speciation_gene_pairs_same_direction,0.6682
Speciation_gene_pairs_same_direction,0.9513
Speciation_gene_pairs_same_direction,0.962
Speciation_gene_pairs_same_direction,1.8399
Speciation_gene_pairs_same_direction,1.906
Speciation_gene_pairs_same_direction,0.6509
Speciation_gene_pairs_same_direction,1.1116
Speciation_gene_pairs_same_direction,0.7287
Speciation_gene_pairs_same_direction,0.5863
Speciation_gene_pairs_same_direction,0.7675
Speciation_gene_pairs_same_direction,0.7796
Speciation_gene_pairs_same_direction,0.5685
Speciation_gene_pairs_same_direction,0.4455
Speciation_gene_pairs_same_direction,1.1737
Speciation_gene_pairs_same_direction,0.6726
Speciation_gene_pairs_same_direction,0.9357
Speciation_gene_pairs_same_direction,0.4459
Speciation_gene_pairs_same_direction,0.9225
Speciation_gene_pairs_same_direction,1.1512
