Type,omega
Speciation_gene_pairs_same_direction,0.1239
Speciation_gene_pairs_same_direction,0.1432
Speciation_gene_pairs_same_direction,0.1165
Speciation_gene_pairs_same_direction,0.1753
Speciation_gene_pairs_same_direction,0.3017
Speciation_gene_pairs_same_direction,0.2002
Speciation_gene_pairs_same_direction,0.3084
Speciation_gene_pairs_same_direction,0.2927
Speciation_gene_pairs_same_direction,0.0445
Speciation_gene_pairs_same_direction,0.293
Speciation_gene_pairs_same_direction,0.1204
Speciation_gene_pairs_same_direction,0.3416
Speciation_gene_pairs_same_direction,0.2526
Speciation_gene_pairs_same_direction,0.0977
Speciation_gene_pairs_same_direction,0.1928
Speciation_gene_pairs_same_direction,-1.0
Speciation_gene_pairs_same_direction,0.1558
Speciation_gene_pairs_same_direction,0.3611
Speciation_gene_pairs_same_direction,0.0804
Speciation_gene_pairs_same_direction,0.2657
Speciation_gene_pairs_same_direction,0.1873
Speciation_gene_pairs_same_direction,0.0787
Speciation_gene_pairs_same_direction,0.1748
Speciation_gene_pairs_same_direction,0.1986
Speciation_gene_pairs_same_direction,0.19
Speciation_gene_pairs_same_direction,0.2248
Speciation_gene_pairs_same_direction,0.1689
Speciation_gene_pairs_same_direction,0.2621
