Type,ka
Speciation_gene_pairs_same_direction,0.0755
Speciation_gene_pairs_same_direction,0.0713
Speciation_gene_pairs_same_direction,0.0647
Speciation_gene_pairs_same_direction,0.0895
Speciation_gene_pairs_same_direction,0.0942
Speciation_gene_pairs_same_direction,0.1958
Speciation_gene_pairs_same_direction,0.0886
Speciation_gene_pairs_same_direction,0.1055
Speciation_gene_pairs_same_direction,0.1162
Speciation_gene_pairs_same_direction,0.0708
Speciation_gene_pairs_same_direction,0.1549
Speciation_gene_pairs_same_direction,0.0399
Speciation_gene_pairs_same_direction,0.12
Speciation_gene_pairs_same_direction,0.0968
Speciation_gene_pairs_same_direction,0.2089
Speciation_gene_pairs_same_direction,0.1013
Speciation_gene_pairs_same_direction,0.2722
Speciation_gene_pairs_same_direction,0.2467
Speciation_gene_pairs_same_direction,0.1015
Speciation_gene_pairs_same_direction,0.1952
Speciation_gene_pairs_same_direction,0.2099
Speciation_gene_pairs_same_direction,0.4628
Speciation_gene_pairs_same_direction,0.0592
Speciation_gene_pairs_same_direction,0.0043
Speciation_gene_pairs_same_direction,0.0796
Speciation_gene_pairs_same_direction,0.3777
Speciation_gene_pairs_same_direction,0.3088
Speciation_gene_pairs_same_direction,0.1813
