Type,ka
Speciation_gene_pairs_same_direction,0.0481288
Speciation_gene_pairs_same_direction,0.174239
Speciation_gene_pairs_same_direction,0.162244
Speciation_gene_pairs_same_direction,0.109932
Speciation_gene_pairs_same_direction,0.307203
Speciation_gene_pairs_same_direction,0.0846531
Speciation_gene_pairs_same_direction,0.0707872
Speciation_gene_pairs_same_direction,0.346093
Speciation_gene_pairs_same_direction,0.279819
Speciation_gene_pairs_same_direction,0.176731
Speciation_gene_pairs_same_direction,0.138373
Speciation_gene_pairs_same_direction,0.094225
Speciation_gene_pairs_same_direction,0.0522408
Speciation_gene_pairs_same_direction,0.076452
Speciation_gene_pairs_same_direction,0.0231503
Speciation_gene_pairs_same_direction,0.160275
Speciation_gene_pairs_same_direction,0.180208
Speciation_gene_pairs_same_direction,0.365346
Speciation_gene_pairs_same_direction,0.180312
Speciation_gene_pairs_same_direction,0.130977
Speciation_gene_pairs_same_direction,0.110109
Speciation_gene_pairs_same_direction,0.353862
Speciation_gene_pairs_same_direction,0.232535
Speciation_gene_pairs_same_direction,0.0730703
Speciation_gene_pairs_same_direction,0.159716
Speciation_gene_pairs_same_direction,0.133739
Speciation_gene_pairs_same_direction,0.0452337
Speciation_gene_pairs_same_direction,0.0869189
