Type,ks
Speciation_gene_pairs_same_direction,1.11568
Speciation_gene_pairs_same_direction,0.59844
Speciation_gene_pairs_same_direction,0.583289
Speciation_gene_pairs_same_direction,0.873648
Speciation_gene_pairs_same_direction,0.807518
Speciation_gene_pairs_same_direction,0.774819
Speciation_gene_pairs_same_direction,0.878148
Speciation_gene_pairs_same_direction,1.08323
Speciation_gene_pairs_same_direction,1.9904
Speciation_gene_pairs_same_direction,1.32152
Speciation_gene_pairs_same_direction,0.859386
Speciation_gene_pairs_same_direction,0.768494
Speciation_gene_pairs_same_direction,0.966622
Speciation_gene_pairs_same_direction,0.970877
Speciation_gene_pairs_same_direction,0.987621
Speciation_gene_pairs_same_direction,1.49511
Speciation_gene_pairs_same_direction,1.56662
Speciation_gene_pairs_same_direction,0.639611
Speciation_gene_pairs_same_direction,2.29819
Speciation_gene_pairs_same_direction,0.687723
Speciation_gene_pairs_same_direction,1.04623
Speciation_gene_pairs_same_direction,0.876363
Speciation_gene_pairs_same_direction,0.912196
Speciation_gene_pairs_same_direction,1.58358
Speciation_gene_pairs_same_direction,1.21598
Speciation_gene_pairs_same_direction,0.971673
Speciation_gene_pairs_same_direction,2.19695
Speciation_gene_pairs_same_direction,2.14705
