Type,omega
Speciation_gene_pairs_same_direction,0.108933
Speciation_gene_pairs_same_direction,0.0714388
Speciation_gene_pairs_same_direction,0.150026
Speciation_gene_pairs_same_direction,0.0598573
Speciation_gene_pairs_same_direction,0.0199925
Speciation_gene_pairs_same_direction,0.0239315
Speciation_gene_pairs_same_direction,0.171024
Speciation_gene_pairs_same_direction,0.0698485
Speciation_gene_pairs_same_direction,0.0856271
Speciation_gene_pairs_same_direction,0.273169
Speciation_gene_pairs_same_direction,0.120123
Speciation_gene_pairs_same_direction,0.0570638
Speciation_gene_pairs_same_direction,0.0190476
Speciation_gene_pairs_same_direction,0.333731
Speciation_gene_pairs_same_direction,0.0449004
Speciation_gene_pairs_same_direction,0.371461
Speciation_gene_pairs_same_direction,0.0499845
Speciation_gene_pairs_same_direction,0.19052
Speciation_gene_pairs_same_direction,0.104475
Speciation_gene_pairs_same_direction,0.048979
Speciation_gene_pairs_same_direction,0.179052
Speciation_gene_pairs_same_direction,0.0930712
Speciation_gene_pairs_same_direction,0.197969
Speciation_gene_pairs_same_direction,0.0405702
Speciation_gene_pairs_same_direction,0.00848982
Speciation_gene_pairs_same_direction,0.148762
Speciation_gene_pairs_same_direction,0.0752778
Speciation_gene_pairs_same_direction,0.107307
