Type,ks
Speciation_gene_pairs_same_direction,0.6794
Speciation_gene_pairs_same_direction,0.8364
Speciation_gene_pairs_same_direction,0.8953
Speciation_gene_pairs_same_direction,1.0614
Speciation_gene_pairs_same_direction,1.3549
Speciation_gene_pairs_same_direction,0.8067
Speciation_gene_pairs_same_direction,0.6263
Speciation_gene_pairs_same_direction,0.8575
Speciation_gene_pairs_same_direction,0.6224
Speciation_gene_pairs_same_direction,1.6248
Speciation_gene_pairs_same_direction,0.7881
Speciation_gene_pairs_same_direction,0.8246
Speciation_gene_pairs_same_direction,0.5526
Speciation_gene_pairs_same_direction,0.6482
Speciation_gene_pairs_same_direction,1.99
Speciation_gene_pairs_same_direction,0.6845
Speciation_gene_pairs_same_direction,1.1884
Speciation_gene_pairs_same_direction,0.7353
Speciation_gene_pairs_same_direction,1.9667
Speciation_gene_pairs_same_direction,0.6
Speciation_gene_pairs_same_direction,0.7837
Speciation_gene_pairs_same_direction,0.9964
Speciation_gene_pairs_same_direction,0.7366
Speciation_gene_pairs_same_direction,0.81
Speciation_gene_pairs_same_direction,0.6433
Speciation_gene_pairs_same_direction,0.7484
Speciation_gene_pairs_same_direction,1.2119
Speciation_gene_pairs_same_direction,0.6075
