Type,ks
Speciation_gene_pairs_same_direction,0.8933
Speciation_gene_pairs_same_direction,0.7905
Speciation_gene_pairs_same_direction,0.8299
Speciation_gene_pairs_same_direction,0.5243
Speciation_gene_pairs_same_direction,0.7308
Speciation_gene_pairs_same_direction,0.7326
Speciation_gene_pairs_same_direction,0.7092
Speciation_gene_pairs_same_direction,0.7831
Speciation_gene_pairs_same_direction,0.6948
Speciation_gene_pairs_same_direction,1.305
Speciation_gene_pairs_same_direction,1.4781
Speciation_gene_pairs_same_direction,0.4699
Speciation_gene_pairs_same_direction,2.0825
Speciation_gene_pairs_same_direction,0.636
Speciation_gene_pairs_same_direction,0.7662
Speciation_gene_pairs_same_direction,1.9642
Speciation_gene_pairs_same_direction,0.5314
Speciation_gene_pairs_same_direction,0.7142
Speciation_gene_pairs_same_direction,0.6107
Speciation_gene_pairs_same_direction,0.5924
Speciation_gene_pairs_same_direction,1.2189
Speciation_gene_pairs_same_direction,2.9683
Speciation_gene_pairs_same_direction,0.5242
Speciation_gene_pairs_same_direction,0.7003
Speciation_gene_pairs_same_direction,1.4628
Speciation_gene_pairs_same_direction,1.0012
Speciation_gene_pairs_same_direction,1.0737
Speciation_gene_pairs_same_direction,0.5312
