Type,omega
Speciation_gene_pairs_same_direction,0.065
Speciation_gene_pairs_same_direction,0.035
Speciation_gene_pairs_same_direction,0.238
Speciation_gene_pairs_same_direction,0.0942
Speciation_gene_pairs_same_direction,0.2109
Speciation_gene_pairs_same_direction,0.3713
Speciation_gene_pairs_same_direction,0.2076
Speciation_gene_pairs_same_direction,0.0548
Speciation_gene_pairs_same_direction,0.057
Speciation_gene_pairs_same_direction,0.0895
Speciation_gene_pairs_same_direction,0.0835
Speciation_gene_pairs_same_direction,0.1729
Speciation_gene_pairs_same_direction,0.068
Speciation_gene_pairs_same_direction,0.1111
Speciation_gene_pairs_same_direction,0.5901
Speciation_gene_pairs_same_direction,0.3
Speciation_gene_pairs_same_direction,0.0768
Speciation_gene_pairs_same_direction,0.2649
Speciation_gene_pairs_same_direction,0.0264
Speciation_gene_pairs_same_direction,0.1425
Speciation_gene_pairs_same_direction,0.1661
Speciation_gene_pairs_same_direction,0.0672
Speciation_gene_pairs_same_direction,0.1424
Speciation_gene_pairs_same_direction,0.1629
Speciation_gene_pairs_same_direction,0.1274
Speciation_gene_pairs_same_direction,0.0897
Speciation_gene_pairs_same_direction,0.1997
Speciation_gene_pairs_same_direction,0.0169
