Type,ka
Speciation_gene_pairs_same_direction,0.324226
Speciation_gene_pairs_same_direction,0.173857
Speciation_gene_pairs_same_direction,0.363869
Speciation_gene_pairs_same_direction,0.162715
Speciation_gene_pairs_same_direction,0.401802
Speciation_gene_pairs_same_direction,0.25964
Speciation_gene_pairs_same_direction,0.186209
Speciation_gene_pairs_same_direction,0.295929
Speciation_gene_pairs_same_direction,0.154984
Speciation_gene_pairs_same_direction,0.213318
Speciation_gene_pairs_same_direction,0.154602
Speciation_gene_pairs_same_direction,0.124158
Speciation_gene_pairs_same_direction,0.107058
Speciation_gene_pairs_same_direction,0.332895
Speciation_gene_pairs_same_direction,0.133491
Speciation_gene_pairs_same_direction,0.150642
Speciation_gene_pairs_same_direction,0.0879374
Speciation_gene_pairs_same_direction,0.433552
Speciation_gene_pairs_same_direction,0.164098
Speciation_gene_pairs_same_direction,0.170411
Speciation_gene_pairs_same_direction,0.141829
Speciation_gene_pairs_same_direction,0.21694
Speciation_gene_pairs_same_direction,0.0932053
Speciation_gene_pairs_same_direction,0.1659
Speciation_gene_pairs_same_direction,0.17665
Speciation_gene_pairs_same_direction,0.32113
Speciation_gene_pairs_same_direction,0.305039
Speciation_gene_pairs_same_direction,0.284958
