Type,ks
Speciation_gene_pairs_same_direction,1.52484
Speciation_gene_pairs_same_direction,0.888111
Speciation_gene_pairs_same_direction,0.74805
Speciation_gene_pairs_same_direction,1.27307
Speciation_gene_pairs_same_direction,0.887604
Speciation_gene_pairs_same_direction,1.71663
Speciation_gene_pairs_same_direction,1.57935
Speciation_gene_pairs_same_direction,0.737015
Speciation_gene_pairs_same_direction,0.748107
Speciation_gene_pairs_same_direction,0.900165
Speciation_gene_pairs_same_direction,0.62228
Speciation_gene_pairs_same_direction,0.695983
Speciation_gene_pairs_same_direction,1.6438
Speciation_gene_pairs_same_direction,0.908048
Speciation_gene_pairs_same_direction,0.969081
Speciation_gene_pairs_same_direction,1.12234
Speciation_gene_pairs_same_direction,0.913331
Speciation_gene_pairs_same_direction,2.3088
Speciation_gene_pairs_same_direction,0.753373
Speciation_gene_pairs_same_direction,1.08912
Speciation_gene_pairs_same_direction,0.790029
Speciation_gene_pairs_same_direction,0.763914
Speciation_gene_pairs_same_direction,1.31514
Speciation_gene_pairs_same_direction,0.83065
Speciation_gene_pairs_same_direction,0.949888
Speciation_gene_pairs_same_direction,2.31986
Speciation_gene_pairs_same_direction,0.766199
Speciation_gene_pairs_same_direction,1.90731
