Type,omega
Speciation_gene_pairs_same_direction,0.13265
Speciation_gene_pairs_same_direction,0.261628
Speciation_gene_pairs_same_direction,0.0972151
Speciation_gene_pairs_same_direction,0.25168
Speciation_gene_pairs_same_direction,0.0930269
Speciation_gene_pairs_same_direction,0.10283
Speciation_gene_pairs_same_direction,0.0363917
Speciation_gene_pairs_same_direction,0.0548912
Speciation_gene_pairs_same_direction,0.134459
Speciation_gene_pairs_same_direction,0.0387054
Speciation_gene_pairs_same_direction,0.265497
Speciation_gene_pairs_same_direction,0.367164
Speciation_gene_pairs_same_direction,0.10042
Speciation_gene_pairs_same_direction,0.141984
Speciation_gene_pairs_same_direction,0.0911117
Speciation_gene_pairs_same_direction,0.0487337
Speciation_gene_pairs_same_direction,0.165144
Speciation_gene_pairs_same_direction,0.0738824
Speciation_gene_pairs_same_direction,0.235663
Speciation_gene_pairs_same_direction,0.318047
Speciation_gene_pairs_same_direction,0.0388222
Speciation_gene_pairs_same_direction,0.129388
Speciation_gene_pairs_same_direction,0.103813
Speciation_gene_pairs_same_direction,0.166248
Speciation_gene_pairs_same_direction,0.108124
Speciation_gene_pairs_same_direction,0.0967843
Speciation_gene_pairs_same_direction,0.054622
Speciation_gene_pairs_same_direction,0.212536
