Type,omega
Speciation_gene_pairs_same_direction,0.2497
Speciation_gene_pairs_same_direction,0.1092
Speciation_gene_pairs_same_direction,0.424
Speciation_gene_pairs_same_direction,0.2075
Speciation_gene_pairs_same_direction,0.3195
Speciation_gene_pairs_same_direction,0.214
Speciation_gene_pairs_same_direction,0.1588
Speciation_gene_pairs_same_direction,0.3146
Speciation_gene_pairs_same_direction,0.328
Speciation_gene_pairs_same_direction,0.3653
Speciation_gene_pairs_same_direction,0.1957
Speciation_gene_pairs_same_direction,0.284
Speciation_gene_pairs_same_direction,0.1511
Speciation_gene_pairs_same_direction,0.0669
Speciation_gene_pairs_same_direction,0.4457
Speciation_gene_pairs_same_direction,0.6015
Speciation_gene_pairs_same_direction,0.2678
Speciation_gene_pairs_same_direction,0.204
Speciation_gene_pairs_same_direction,0.3271
Speciation_gene_pairs_same_direction,0.2411
Speciation_gene_pairs_same_direction,0.1833
Speciation_gene_pairs_same_direction,0.2665
Speciation_gene_pairs_same_direction,0.1613
Speciation_gene_pairs_same_direction,0.162
Speciation_gene_pairs_same_direction,0.1386
Speciation_gene_pairs_same_direction,0.1603
Speciation_gene_pairs_same_direction,0.2641
Speciation_gene_pairs_same_direction,0.1035
