Type,ka
Speciation_gene_pairs_same_direction,0.1147
Speciation_gene_pairs_same_direction,0.0895
Speciation_gene_pairs_same_direction,0.1546
Speciation_gene_pairs_same_direction,0.1075
Speciation_gene_pairs_same_direction,0.2277
Speciation_gene_pairs_same_direction,0.113
Speciation_gene_pairs_same_direction,0.1733
Speciation_gene_pairs_same_direction,0.1477
Speciation_gene_pairs_same_direction,0.2905
Speciation_gene_pairs_same_direction,0.108
Speciation_gene_pairs_same_direction,0.0766
Speciation_gene_pairs_same_direction,0.3292
Speciation_gene_pairs_same_direction,0.2655
Speciation_gene_pairs_same_direction,0.1089
Speciation_gene_pairs_same_direction,0.1969
Speciation_gene_pairs_same_direction,0.1895
Speciation_gene_pairs_same_direction,0.3427
Speciation_gene_pairs_same_direction,0.2566
Speciation_gene_pairs_same_direction,0.502
Speciation_gene_pairs_same_direction,0.4301
Speciation_gene_pairs_same_direction,0.0721
Speciation_gene_pairs_same_direction,0.182
Speciation_gene_pairs_same_direction,0.1558
Speciation_gene_pairs_same_direction,0.205
Speciation_gene_pairs_same_direction,0.4664
Speciation_gene_pairs_same_direction,0.5018
Speciation_gene_pairs_same_direction,0.2127
Speciation_gene_pairs_same_direction,0.1955
